Card name,Number
Shelmet,13
Phantump,16
Chandelure,39
Chandelure,40
Lapras,54
Mudkip,62
Marshtomp,63
Greninja,73
Charjabug,100
Vikavolt,101
Toxel,105
Toxtricity,107
Toxtricity,108
Dreepy,128
Drakloak,129
Dragapult,130
Drilbur,147
Falinks,154
Falinks,155
Zigzagoon,159
Linoone,160
Obstagoon,161
Zorua,170
Zoroark,171
Impidimp,176
Morgrem,177
Grimmsnarl,178
Skarmory,182
Excadrill,183
Corviknight,190
Goomy,195
Hawlucha,216
Rookidee,219
Corvisquire,220
