Card name,Number
Scyther,4
Phantump,14
Grubbin,16
Litwick,31
Chandelure,33
Electabuzz,58
Electivire,59
Charjabug,65
Vikavolt,66
Toxel,68
Toxtricity,69
Dragapult,91
Dragapult,92
Falinks,109
Falinks,110
Impidimp,123
Morgrem,124
Grimmsnarl,125
Honedge,133
Doublade,134
Aegislash,135
Hawlucha,148
