Card name,Number
Nymble,20
Lokix,21
Charcadet,39
Frigibax,57
Magnemite,65
Misdreavus,87
Ceruledge,98
Falinks,119
Sneasel,133
Tyranitar,135
Sableye,136
Zweilous,139
Hydreigon,140
Corviknight,148
Noivern,153
Corvisquire,165
Tandemaus,166
Tandemaus,167
Mismagius,212
Rookidee,225
Maushold,226
