Card name,Number
Karrablast,8
Shelmet,9
Wimpod,17
Golisopod,18
Houndoom,21
Larvesta,29
Volcarona,30
Milotic,39
Cubchoo,48
Beartic,49
Ampharos,57
Toxel,62
Toxtricity,63
Larvitar,86
Pupitar,87
Tyranitar,88
Deino,108
Zweilous,109
Hydreigon,110
Nickit,112
Thievul,113
Grimmsnarl,114
Skarmory,120
Aron,121
Lairon,122
Aggron,123
Escavalier,124
Rookidee,154
Corvisquire,155
Corviknight,156
