Card name,Number
Grimmsnarl,57
Toxtricity,137
Hydreigon,138
Leafeon,191
Magnezone,208
Toxel,209
Weavile,246
Infernape,252
Togetic,276
Moltres,284
Zapdos,283
Articuno,282
Lucario,291
