Card name,Number
Genesect,16
Ampharos,49
Shuppet,67
Banette,68
Sableye,105
Beldum,116
Metang,117
Metagross,118
Lucario,120
Excadrill,122
Aegislash,126
Aegislash,127
Togekiss,140
